Title;Description;Scene Name;Script;Prefab or Class;;ENDLINE
Simply Play MIDI;The easiest way to play MIDI music in Unity. No scripting is required, everything is configured in the Inspector.;TestMidiFilePlayer;Use only MPTK prefabs. Just drag, play – no scripting required;MidiFilePlayer;Free;ENDLINE
Play MIDI with Scripts and Explore Features;Learn how to integrate MPTK into your app with C# scripts. Use the MPTK API with just a few lines of code to access each available feature.;TestMidiFilePlayerScripting;TestMidiFilePlayerScripting.cs;MidiFilePlayer;Free;ENDLINE
Multi MIDI Player;Four MidiFilePlayer prefabs are set up in a 3D scene, each demonstrating simple spatialization as the camera moves, without any spatializer plugin.;TestMidiFilePlayerMulti;Use only MPTK prefabs. Just drag, play – no scripting required;MidiFilePlayer x 4;Free;ENDLINE
MIDI File Loading;Load all or part of MIDI events from the MIDI database or from disk in the Pro version. This demo does not include sequencing, synthesis, or playback and focuses on decoding MIDI files into user-friendly MPTKEvent objects.;TestMidiFileLoad;TestMidiFileLoad.cs;MidiFileLoader, MPTKEvent;Free;ENDLINE
MIDI Stream Music;Generate notes in real time without MIDI files using only a few lines of code. The Pro version also lets you play chords and ranges, and apply real-time synth parameter changes such as attack and effects.;TestMidiStream;TestMidiStream.cs;MidiStreamPlayer, MPTKEvent;Free;ENDLINE
Catch Music;Notes are read from a MidiFilePlayer and fall onto a conveyor belt. At the end, they are played by a MidiStreamPlayer. Some monsters disturb the music, making this demo a potential game concept.;CatchMusic;MusicView.cs, ControlView.cs, NoteView.cs;MidiFilePlayer, MidiStreamPlayer, MPTKEvent;Free;ENDLINE
MIDI Spatialization;A moving sphere plays MIDI music to demonstrate spatialization. For best results, use an external spatializer plugin or, in Pro, enable Orientation and Distance in the Inspector.;TestMidiSpatialization;Use only MPTK prefabs. Just drag, play – no scripting required;MidiFilePlayer;Free;ENDLINE
MIDI Playlist;Play a list of MIDI files or selected file segments with time overlap.;TestMidiPlayList;Use only MPTK prefabs. Just drag, play – no scripting required;MidiListPlayer;Pro;ENDLINE
Euclidean Rhythm;An original algorithm for generating rhythms. Users can interactively change synth parameters and apply real-time events for a precise music generator.;EuclideanRhythm;TestEuclideanRhythme.cs;MidiFilePlayer, MidiStreamPlayer, MPTKEvent;Pro;ENDLINE
MIDI File Writer;A collection of short examples for creating, writing, and directly playing MIDI files with the easy-to-use MPTKWriter API. This class also forms the foundation of the MIDI Editor.;TestMidiGenerator;TestMidiGenerator.cs;MidiFilePlayer, MidiStreamPlayer, MPTKWriter;Pro;ENDLINE
Play External MIDI;Select MIDI files from local storage or from a website and play them. Try the amazing MIDI roulette.;TestExternalMidiPlay;TestExternalMidiPlay.cs;MidiExternalPlay;Pro;ENDLINE
Channel and Track Spatialization;Each sphere is linked to a dedicated MIDI synth by channel or track, with its own AudioSource and real-time 3D position. Fly between instruments and locate each one in 3D space. For best results, enable Orientation and Distance in the Inspector.;SpatializerFly;TestSpatializerFly.cs;MidiSpatializer;Pro;ENDLINE
Read MIDI Keyboard and Play Notes with MidiStreamPlayer;Demo of the MidiInReader prefab, which reads MIDI events from a connected keyboard. In this demo, keyboard events are played by the MPTK MIDI synth. A plugin available on the website is required.;TestMidiInReader;TestMidiInputScripting.cs;MidiInReader;Pro;ENDLINE
Read and Write MIDI Keyboard Events;Read and send MIDI events to a connected MIDI keyboard. A plugin available on the website is required.;TestMidiKeyboard;TestMidiKeyboard.cs;MidiKeyboard, MidiStreamPlayer;Pro;ENDLINE
Merge MIDI Files;Load MIDI files from the MIDI database, merge or insert them at a chosen position, and save them as external MIDI files or back to the MIDI database. All these actions can be performed during playback.;TestMidiJoin;MidiJoinAndImport.cs;MidiFileWriter2, MidiFilePlayer, MidiFileLoader;Pro;ENDLINE
Inner Loop;A quick demonstration of the MIDI inner loop feature, a highly accurate MIDI looper.;TestInnerLoop;TestInnerLoop.cs;MPTKInnerLoop;Pro;ENDLINE
Load External SoundFont;Load a SoundFont from a website or local storage. Ideal for reducing app size or offering instrument and style options.;TestLoadingExternalSoundFont;TestLoadSF.cs;MPTKSoundFont, MidiFilePlayer, MidiStreamPlayer;Pro;ENDLINE
Technical Demo;Useful for displaying logs and stats when testing Oboe or WebGL. Oboe is a low-latency audio library that uses OpenSL and AAudio to process audio on Android.;TestOboe;TestOboeScript.cs;MidiSynth;Pro;ENDLINE
Music Wood Box;Turn your smartphone or tablet into a wooden instrument. This demo is still under development and not yet available. Enjoy the expressive touch surface with low-latency playback.;TestTouch;;MidiStreamPlayer;Dev;ENDLINE
